x-axis,1,2
second,Volt,Volt
-35.5000E-03,,
-35.3700E-03,,
-35.2400E-03,-4.1818E-03,+2.2849E-03
-35.1100E-03,-4.1579E-03,+2.2849E-03
-34.9800E-03,-4.1818E-03,+2.3490E-03
-34.8500E-03,-4.1818E-03,+2.2849E-03
-34.7200E-03,-4.1818E-03,+2.0336E-03
-34.5900E-03,-4.0635E-03,+2.2184E-03
-34.4600E-03,-4.3805E-03,+2.2849E-03
-34.3300E-03,-4.1818E-03,+2.0336E-03
-34.2000E-03,-4.1818E-03,+2.2849E-03
-34.0700E-03,-4.3388E-03,+2.0336E-03
-33.9400E-03,-4.4331E-03,+2.2849E-03
-33.8100E-03,-4.1053E-03,+2.1101E-03
-33.6800E-03,-4.1818E-03,+2.0336E-03
-33.5500E-03,-4.1818E-03,+2.0336E-03
-33.4200E-03,-4.1818E-03,+2.2408E-03
-33.2900E-03,-4.1818E-03,+2.2849E-03
-33.1600E-03,-4.1818E-03,+2.4093E-03
-33.0300E-03,-4.1818E-03,+2.2849E-03
-32.9000E-03,-4.4331E-03,+2.2849E-03
-32.7700E-03,-4.4269E-03,+2.2849E-03
-32.6400E-03,-4.1818E-03,+2.2849E-03
-32.5100E-03,-4.3589E-03,+2.2849E-03
-32.3800E-03,-4.0450E-03,+2.3993E-03
-32.2500E-03,-4.0852E-03,+2.3815E-03
-32.1200E-03,-4.1818E-03,+2.5361E-03
-31.9900E-03,-4.1818E-03,+2.2849E-03
-31.8600E-03,-4.1579E-03,+2.2609E-03
-31.7300E-03,-4.1818E-03,+2.2849E-03
-31.6000E-03,-4.1818E-03,+2.3892E-03
-31.4700E-03,-4.1818E-03,+2.0336E-03
-31.3400E-03,-4.3666E-03,+2.2184E-03
-31.2100E-03,-4.1818E-03,+2.2586E-03
-31.0800E-03,-3.9445E-03,+2.0336E-03
-30.9500E-03,-4.3790E-03,+2.0336E-03
-30.8200E-03,-4.0249E-03,+2.0336E-03
-30.6900E-03,-4.0651E-03,+2.0336E-03
-30.5600E-03,-4.1818E-03,+2.2849E-03
-30.4300E-03,-4.1818E-03,+2.2849E-03
-30.3000E-03,-4.4292E-03,+2.2849E-03
-30.1700E-03,-4.2259E-03,+2.4921E-03
-30.0400E-03,-4.2661E-03,+2.3691E-03
-29.9100E-03,-4.1818E-03,+2.1581E-03
-29.7800E-03,-4.1818E-03,+2.1202E-03
-29.6500E-03,-4.1354E-03,+2.2849E-03
-29.5200E-03,-4.1818E-03,+2.5299E-03
-29.3900E-03,-4.1818E-03,+2.5361E-03
