x-axis,1,2
second,Volt,Volt
-100.5000E-03,,
-100.3700E-03,,
-100.2400E-03,+1.1773445E+00,+26.6588E-03
-100.1100E-03,+1.1740456E+00,+26.5294E-03
-99.9800E-03,+1.1709170E+00,+26.6019E-03
-99.8500E-03,+1.1677649E+00,+26.5944E-03
-99.7200E-03,+1.1645713E+00,+26.5152E-03
-99.5900E-03,+1.1613999E+00,+26.5205E-03
-99.4600E-03,+1.1584595E+00,+26.6621E-03
-99.3300E-03,+1.1553120E+00,+26.5944E-03
-99.2000E-03,+1.1519829E+00,+26.4435E-03
-99.0700E-03,+1.1487912E+00,+26.4176E-03
-98.9400E-03,+1.1456387E+00,+26.4673E-03
-98.8100E-03,+1.1424426E+00,+26.3780E-03
-98.6800E-03,+1.1391374E+00,+26.3442E-03
-98.5500E-03,+1.1359665E+00,+26.4014E-03
-98.4200E-03,+1.1327932E+00,+26.4177E-03
-98.2900E-03,+1.1295689E+00,+26.3696E-03
-98.1600E-03,+1.1262919E+00,+26.1973E-03
-98.0300E-03,+1.1230413E+00,+26.3480E-03
-97.9000E-03,+1.1199187E+00,+26.3724E-03
-97.7700E-03,+1.1166932E+00,+26.2929E-03
-97.6400E-03,+1.1134677E+00,+26.3687E-03
-97.5100E-03,+1.1102654E+00,+26.3027E-03
-97.3800E-03,+1.1070665E+00,+26.2595E-03
-97.2500E-03,+1.1038516E+00,+26.2505E-03
-97.1200E-03,+1.1006618E+00,+26.2954E-03
-96.9900E-03,+1.0975808E+00,+26.4099E-03
-96.8600E-03,+1.0943577E+00,+26.1970E-03
-96.7300E-03,+1.0911632E+00,+26.2064E-03
-96.6000E-03,+1.0880369E+00,+26.2200E-03
-96.4700E-03,+1.0849641E+00,+26.1019E-03
-96.3400E-03,+1.0817046E+00,+26.0789E-03
-96.2100E-03,+1.0785450E+00,+26.2106E-03
-96.0800E-03,+1.0754553E+00,+26.1165E-03
-95.9500E-03,+1.0722706E+00,+26.0378E-03
-95.8200E-03,+1.0689388E+00,+26.0398E-03
-95.6900E-03,+1.0657863E+00,+26.0627E-03
-95.5600E-03,+1.0625356E+00,+26.0196E-03
-95.4300E-03,+1.0592623E+00,+26.0817E-03
-95.3000E-03,+1.0558822E+00,+26.1773E-03
-95.1700E-03,+1.0527190E+00,+25.9853E-03
-95.0400E-03,+1.0495595E+00,+26.0299E-03
-94.9100E-03,+1.0463992E+00,+25.9955E-03
-94.7800E-03,+1.0430589E+00,+25.9403E-03
-94.6500E-03,+1.0400953E+00,+25.9829E-03
